run,stride,n_windows,n_finite,ph_dim_terminal,ph_dim_median,slope_median,steps_spanned
transformer_add113_f0.3_wd0.1_dense_s0,20,57,57,1.2431495714880196,1.189887513746942,0.1595844242024093,3980
transformer_add113_f0.3_wd0.1_dense_s0,40,27,27,1.159095319012922,1.2000541078621532,0.16670423987676802,7960
transformer_add113_f0.3_wd0.1_dense_s0,60,17,17,1.204612239580115,1.2507773160763103,0.2004971731203112,11940
transformer_add113_f0.3_wd0.1_dense_s0,100,9,9,1.3034299830905007,1.389446684066395,0.2802890449359519,19900
transformer_add113_f0.3_wd0.1_dense_s1,20,57,57,1.2027701499324595,1.2025408184634554,0.16842739585526223,3980
transformer_add113_f0.3_wd0.1_dense_s1,40,27,27,1.238293031873656,1.2200701573346402,0.18037500221741717,7960
transformer_add113_f0.3_wd0.1_dense_s1,60,17,17,1.2921106221986909,1.2753389156501225,0.21589470239741293,11940
transformer_add113_f0.3_wd0.1_dense_s1,100,9,9,1.3420269844116195,1.3779319387873716,0.2742747505511521,19900
transformer_add113_f0.3_wd0.1_dense_s2,20,57,57,1.2046852261540208,1.2022986936210078,0.16825992966168604,3980
transformer_add113_f0.3_wd0.1_dense_s2,40,27,27,1.1958486680478724,1.2189665304995292,0.17963293086463772,7960
transformer_add113_f0.3_wd0.1_dense_s2,60,17,17,1.2187811557059998,1.2709404987544588,0.21318110408786617,11940
transformer_add113_f0.3_wd0.1_dense_s2,100,9,9,1.4675999813489216,1.4328864360530917,0.3021079864818068,19900
transformer_add113_f0.3_wd0.1_dense_s3,20,57,57,1.1602563219265714,1.1795766773710774,0.15223824005345712,3980
transformer_add113_f0.3_wd0.1_dense_s3,40,27,27,1.1203618100640027,1.1811181821548056,0.15334467362476598,7960
transformer_add113_f0.3_wd0.1_dense_s3,60,17,17,1.1661685933705395,1.2400415719514977,0.19357542309951403,11940
transformer_add113_f0.3_wd0.1_dense_s3,100,9,9,1.358299652211957,1.358299652211957,0.2637854258656954,19900
transformer_add113_f0.3_wd0.1_dense_s4,20,57,57,1.111733055987431,1.1759576568486687,0.14962924542725453,3980
transformer_add113_f0.3_wd0.1_dense_s4,40,27,27,1.2105438657336822,1.2105438657336822,0.17392501973158692,7960
transformer_add113_f0.3_wd0.1_dense_s4,60,17,17,1.3322761956975169,1.2524839558364889,0.20158657894173493,11940
transformer_add113_f0.3_wd0.1_dense_s4,100,9,9,1.3762804932303683,1.4061555485058315,0.2888411235424194,19900
